,SMILES,logPow,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,CC1=CC2=C(C=C1C)NC(=O)CC2C3=CC=CC=C3OC,4.17,12.053454743008313,12.053454743008313,0.04555555555555513,0.04555555555555513,0.9092531194502365,17.095238095238095,281.355,262.203,281.14157884800005,108.0,0.0,0.2248376180578318,-0.49645409477157526,0.49645409477157526,0.2248376180578318,1.0952380952380953,1.8095238095238095,2.5714285714285716,16.465850684138957,9.826609720190483,2.283329204397459,-2.277417758685219,2.4098726780795463,-2.2372556104283925,5.953067073797743,-0.1162068579930726,2.4798172894097754,2.167148819294732,706.3596687039505,14.982763184195939,12.565055246441656,12.565055246441656,10.096555450524587,7.137699338743366,7.137699338743366,5.570554041836381,5.570554041836381,4.219228740236355,4.219228740236355,2.9634430663742233,2.9634430663742233,-2.2899999999999996,69759.74016838639,13.68203547366416,5.243385975100734,2.396137789223999,124.49724837157011,10.05365155780638,5.749511833283905,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,24.26546827384644,42.67056301139545,23.58956543546796,7.109797541277533,9.53140013787187,11.594566004035068,0.0,0.0,0.0,26.186202068468653,12.426586145283864,58.65200837755764,0.0,5.749511833283905,10.05365155780638,5.687386274683562,5.749511833283905,0.0,13.016977270629038,4.794537184071822,13.847474399381248,34.592533635875384,36.39820241076966,0.0,0.0,0.0,38.33,0.0,4.794537184071822,0.0,11.8250857755129,6.4208216229260096,17.000349599664464,16.690354475090988,7.109797541277533,24.26546827384644,31.296997140310797,4.736862953800049,5.471080876795162,0.0,12.053454743008313,2.9853935185185185,5.589197032207945,0.937256708238851,12.17322355022256,0.4542403628117915,4.166476521164022,1.6696766870328377,0.2777777777777778,21.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,3.0,3.7861400000000023,83.99970000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,COC1=CC=C2C(=C1)OC(CC2=O)(C(F)(F)F)O,2.79,12.616874291383219,12.616874291383219,0.0095138888888886,-5.052156202758881,0.8395415722251552,23.27777777777778,262.18299999999994,253.11099999999993,262.04529342800004,98.0,0.0,0.4552877264471845,-0.496623978916529,0.496623978916529,0.4552877264471845,1.4444444444444444,2.111111111111111,2.6666666666666665,19.413883240262766,9.976269195148879,2.595213770378353,-2.3386667540155615,2.4176376766325625,-2.5335269124773134,5.999976274129502,-0.33414334782013816,2.2604411726406046,2.466824037737607,497.5519592648665,13.55204176387779,9.245009474674653,9.245009474674653,8.26596853147643,4.960439031554542,4.960439031554542,3.8462447598069898,3.8462447598069898,2.611105428279998,2.611105428279998,1.633364414412573,1.633364414412573,-1.7600000000000002,7977.096898248694,12.690578969751453,3.8750343875643005,1.9006825236709886,99.92973505798302,14.580253302440804,11.49902366656781,5.783244946364939,0.0,0.0,11.963409670014071,4.794537184071822,0.0,13.171245143024459,0.0,0.0,12.13273413692322,6.06636706846161,19.094070655900538,32.54603562953709,5.783244946364939,0.0,0.0,0.0,18.38423129294008,7.109797541277533,23.762552697081826,0.0,11.49902366656781,9.473725907600098,13.171245143024459,11.49902366656781,0.0,29.962979552497245,0.0,0.0,16.778810298694825,18.19910120538483,0.0,0.0,0.0,55.760000000000005,24.167476239305017,23.07230972193699,0.0,17.062475158264807,0.0,6.06636706846161,19.242531678200752,0.0,0.0,4.736862953800049,4.736862953800049,47.19221182917611,0.0,11.566613756613757,9.379690098261527,-0.0095138888888886,-4.429794501133786,3.854775604686319,-6.209072066326531,0.0,1.3217558342781557,0.36363636363636365,18.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,7.0,1.0,0.0,0.0,0.0,2.0,1.9113000000000002,53.57430000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,CC1(OC(C(O1)C(=O)N)C(=O)N)C(C)(C)C,1.6,11.140613189720334,11.140613189720334,0.41180555555555554,-1.1234027777777789,0.6669282272904552,35.0,230.26399999999995,212.11999999999998,230.126657056,92.0,0.0,0.24949693536894957,-0.36731083200352244,0.36731083200352244,0.24949693536894957,1.0625,1.375,1.5625,16.756491277430058,9.865251305894107,2.545262848772834,-2.360251254546248,2.413580542634391,-2.435962602635554,5.895106182044069,-0.22246403077719487,2.4326952455242603,3.0111803601610267,299.27094404679946,12.723614639131599,9.942394238613957,9.942394238613957,7.083004438872776,5.025934973431344,5.025934973431344,5.077347004253766,5.077347004253766,2.9018970787872838,2.9018970787872838,1.4040403306599327,1.4040403306599327,-1.1400000000000001,2165.0987685165915,12.927294751009422,3.708881168170071,2.0287603098900022,94.24781495699649,20.94106086192447,0.0,17.995043928067204,11.814359458703011,0.0,0.0,9.589074368143644,0.0,0.0,0.0,20.771211599071872,6.923737199690624,5.41499046939678,0.0,19.06280027574374,11.814359458703011,0.0,0.0,16.88232542372115,45.6899927268297,0.0,0.0,0.0,0.0,11.46733495432437,0.0,0.0,0.0,29.809403386770214,19.06280027574374,5.41499046939678,27.694948798762496,0.0,0.0,0.0,0.0,104.64,35.22439385616699,9.589074368143644,0.0,0.0,0.0,0.0,0.0,6.923737199690624,20.771211599071872,0.0,20.94106086192447,10.902222222222221,0.0,22.281226379440668,0.0,9.865407218442932,-2.569074074074073,0.0,-2.246805555555557,7.267023809523809,0.0,0.8,16.0,4.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,6.0,2.0,0.0,1.0,1.0,1.0,-0.49669999999999903,55.99480000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,CCOC1=CC(=CC(=C1OCC)OCC)C2=NN=C(O2)C3=CC=CO3,3.96,5.712303949357521,5.712303949357521,0.31000417296548277,0.31000417296548277,0.6057963887115013,10.68,344.367,324.2070000000001,344.13722174,132.0,0.0,0.283408936628946,-0.48981005775899283,0.48981005775899283,0.283408936628946,0.88,1.52,2.08,16.540651542583305,10.15015525559643,2.1922168003251867,-2.1581798453335854,2.4155736332784423,-2.025428480590073,5.659471833108222,0.2606608151642711,3.2867353611851815,2.0299255884624734,783.7432017079626,17.648053602125596,14.443740332827005,14.443740332827005,12.261881452923198,8.205048814271876,8.205048814271876,4.990349348613461,4.990349348613461,3.313041946077025,3.313041946077025,2.3518659159423168,2.3518659159423168,-2.96,819166.2010096275,16.882398000005534,7.740358799078379,3.5983963176356295,145.07228796497674,23.04489073550684,0.0,17.25927108544225,11.640235755309813,5.890723922025908,0.0,0.0,0.0,0.0,10.197363616602075,0.0,45.03667987291831,5.563451491696996,26.08380888917781,23.04489073550684,0.0,0.0,10.197363616602075,0.0,20.771211599071872,19.820645893538753,30.528631269485498,0.0,40.35368225447497,14.210588861400147,0.0,17.248535499851716,0.0,30.01800951014083,0.0,0.0,20.771211599071872,39.362933143592194,0.0,23.105146754623256,0.0,79.75,0.0,0.0,0.0,0.0,60.174328148013714,0.0,0.0,30.528631269485498,20.771211599071872,10.197363616602075,23.04489073550684,28.09641626097434,0.0,0.0,8.113749055177626,0.681165910808768,2.8821569169066477,7.121118354749307,1.5520583497657812,7.220001818284196,0.0,0.3333333333333333,25.0,0.0,7.0,0.0,0.0,0.0,1.0,2.0,3.0,7.0,0.0,7.0,8.0,0.0,0.0,0.0,3.0,4.192700000000004,90.94300000000003,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,CN(C)C1=CC=C(C=C1)C(=C)C2=CC=C(C=C2)N(C)C,5.3,4.217020030234316,4.217020030234316,1.056122448979592,1.056122448979592,0.8283329473136785,10.2,266.388,244.21199999999993,266.178298704,104.0,0.0,0.03609228012634613,-0.3776609054180283,0.3776609054180283,0.03609228012634613,0.65,0.95,1.2,15.059973423732256,9.988562665580437,2.037722008609391,-2.1484813826780798,2.248038312723372,-2.080683343610687,5.78969052549164,1.129874152424612,2.4638770045483334,2.2190020999743023,524.3202167358058,14.698306133819765,12.720336125703472,12.720336125703472,9.486071002992366,6.7323557781849015,6.7323557781849015,5.361155821277055,5.361155821277055,3.4643284066334616,3.4643284066334616,2.0881806545774193,2.0881806545774193,-2.2199999999999998,32168.37817138304,14.19464363443765,5.826192219289083,3.020901581332349,121.50821432016315,9.799819461700956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.844403957444936,40.9654757873097,39.56546048007588,0.0,0.0,16.94787707943639,0.0,0.0,0.0,0.0,37.99050739240972,66.23677521468537,0.0,0.0,9.799819461700956,11.374772549367124,0.0,0.0,28.19068793070876,0.0,0.0,11.126902983393991,55.10987223129138,0.0,5.573104530069267,0.0,6.48,0.0,0.0,0.0,0.0,0.0,16.70000751346326,11.374772549367124,0.0,28.19068793070876,64.90969169299233,0.0,0.0,0.0,4.191307634164777,0.0,5.774101653517239,0.0,16.969155328798188,0.0,4.217020030234316,8.181748686618816,0.2222222222222222,20.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,3.880100000000003,89.67400000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,CC1=CC=C(O1)C(C#CC(C2=CC=CC=C2)(C3=CC=CC=C3)O)O,3.53,11.239605221718318,11.239605221718318,0.3643271814898801,-1.5087921626984127,0.7260803297839666,12.291666666666666,318.372,300.228,318.125594436,120.0,0.0,0.17648085147864695,-0.46253410213594626,0.46253410213594626,0.17648085147864695,0.875,1.4166666666666667,1.875,16.36491476190442,9.86493526491701,2.2899130331380766,-2.2325622142882775,2.2895854818077064,-2.2497185164371762,5.443938932586355,0.14311220163351177,3.0722959900296196,2.024810643629463,814.6044447231524,16.993353063746348,13.308228980928918,13.308228980928918,11.593172145670254,7.699455054719507,7.699455054719507,5.562749771571804,5.562749771571804,3.8035619864229306,3.8035619864229306,2.514028716332023,2.514028716332023,-2.799999999999999,432825.0590753728,16.07173008323425,6.755813615909422,3.255363321799309,140.7523242639362,14.63020572673476,11.520494837748885,11.70501719873199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.50453932232739,19.056471336613843,11.126902983393991,0.0,14.63020572673476,0.0,0.0,0.0,0.0,18.628754398422615,0.0,95.44380264268223,0.0,11.840868637711289,0.0,0.0,0.0,0.0,10.213054789681411,5.601050810983688,18.764605837401913,28.751364208891175,77.21355575859268,0.0,0.0,0.0,53.60000000000001,11.70501719873199,10.213054789681411,0.0,0.0,22.647397821142874,0.0,0.0,19.056471336613843,60.6636706846161,11.840868637711289,4.417150937053347,5.387791005291005,0.0,0.0,21.452123488284204,-0.21893021174519145,6.60885653978457,21.82002872728522,-1.0993986205593351,1.799529071659528,0.0,0.14285714285714285,24.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,3.560920000000004,92.06360000000004,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,CC(C)(C)C1=CC(=NN1)CC2=CC=CC=C2,4.35,4.352931311413454,4.352931311413454,0.1408113662131516,0.1408113662131516,0.8160434227169542,11.6875,214.312,196.16799999999998,214.146998576,84.0,0.0,0.0668466910180218,-0.28175087346361793,0.28175087346361793,0.0668466910180218,1.125,1.8125,2.375,15.120847361794878,9.91798557019022,2.1591462854429286,-2.1414394772263763,2.2061346157275086,-2.107302461285909,5.238064185087877,0.5665553243233887,2.671659379584621,2.150834953720349,449.08762251482307,11.59601183824781,10.118421991824263,10.118421991824263,7.554661458305717,5.642354248399091,5.642354248399091,5.185332227706256,5.185332227706256,2.6669896709247567,2.6669896709247567,1.6429614412046043,1.6429614412046043,-1.5699999999999998,5439.498496834289,10.931669782501954,4.12438997712008,2.511139670958762,96.7104698679096,0.0,0.0,0.0,0.0,0.0,0.0,5.098681808301038,0.0,5.098681808301038,0.0,51.10304694137992,11.629818560158606,17.52974008717125,5.693927994848461,0.0,0.0,0.0,10.197363616602075,0.0,32.60702369139466,0.0,53.349509892163574,0.0,0.0,0.0,0.0,0.0,0.0,10.197363616602075,11.83581209232279,0.0,37.72251908046579,36.39820241076966,0.0,0.0,0.0,28.68,0.0,0.0,0.0,5.41499046939678,0.0,12.114749617774471,11.257379486545457,0.0,6.06636706846161,61.30041055798199,0.0,0.0,0.0,0.0,7.468883456160242,3.741751464474679,0.0,12.581179138321996,0.89625,6.561935941043084,0.0,0.35714285714285715,16.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,3.298000000000002,66.53570000000003,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,CC1CC(CC(C1)(C)C)NC(=S)NCC2=CSC=3C2=CC=CC3,6.21,5.525468421936676,5.525468421936676,0.41121718575069044,0.41121718575069044,0.7579072878826695,23.608695652173914,346.56500000000005,320.35700000000014,346.153740832,124.0,0.0,0.1662801536102027,-0.359968367940072,0.359968367940072,0.1662801536102027,1.3043478260869565,2.0869565217391304,2.869565217391304,32.13347647913944,9.705123268823879,2.3165558737417298,-2.3923126746518957,2.3794884629599515,-2.4614153851852985,7.797801719846367,0.16109425971828714,2.858073167145724,1.5539427202782234,689.4893705348503,16.44938298937633,14.1863755900013,15.819368751856752,10.927453471798822,8.423208082656805,9.711109184375564,7.6943744426568195,9.013853659539159,4.722699433675126,5.9971869182198585,4.037625493006711,5.23922458637143,-1.13,173888.029562313,16.71817408357552,6.776638027648109,4.23896984986968,148.22046764089805,10.633577208012662,0.0,5.112436884724758,0.0,0.0,0.0,0.0,0.0,0.0,11.336785877934737,38.970312804456704,65.20934037247221,17.286517151529637,0.0,0.0,38.75324033664009,0.0,10.633577208012662,11.332896515558172,52.62027370291043,0.0,35.20898253600935,0.0,0.0,10.633577208012662,0.0,0.0,23.554659320981433,11.15427771387272,6.544756405912575,11.332896515558172,45.597127959546896,29.645531044312353,0.0,10.086144130933896,0.0,24.06,0.0,0.0,0.0,0.0,11.45683129854474,17.575099336798726,34.91206049140892,11.336785877934737,0.0,61.050319851396885,12.217873443046695,1.3389189336330392,7.323095037461469,0.0,11.281788496262703,1.7372283687732826,0.7637660841042871,9.040192081192087,3.721663655580225,7.87668067632624,0.0,0.5263157894736842,23.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,1.0,0.0,1.0,3.0,5.080200000000004,104.98240000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,CCNC1=NC(=NC(=N1)OC2=CC=C(N=N2)OCC)NC(C)C,3.14,5.54933130196523,5.54933130196523,0.1366295298983795,0.1366295298983795,0.7558514944786298,10.478260869565217,319.369,298.201,319.17567291200004,124.0,0.0,0.32954211593957,-0.4768904288136371,0.4768904288136371,0.32954211593957,1.0,1.6956521739130435,2.3043478260869565,16.5076541808045,10.402859096046221,2.099680868071591,-2.1088584801143573,2.1859543620284807,-2.147335838731701,5.365055646802631,0.3182428437703746,2.4882247283468,2.175677185518223,619.0228889879584,16.656489770562878,13.69882892836949,13.69882892836949,11.100886748174156,7.511728180753835,7.511728180753835,4.839449613345803,4.839449613345803,2.4712428832356292,2.4712428832356292,1.6426934051033364,1.6426934051033364,-2.7100000000000004,134812.01578182963,16.65693839198825,8.062945860308343,5.203488797076331,134.4366004257044,20.10730311561276,0.0,0.0,23.65665523484373,0.0,6.010464839586836,0.0,0.0,14.951935562841626,10.197363616602075,0.0,27.694948798762496,24.719331371983756,6.606881964512918,9.473725907600098,11.896678561972989,0.0,25.1492991794437,0.0,33.736789627910454,23.785215578438155,12.13273413692322,0.0,17.77044151245758,20.10730311561276,11.896678561972989,17.77044151245758,0.0,44.34277837901715,0.0,0.0,27.694948798762496,12.13273413692322,0.0,0.0,0.0,106.97000000000001,0.0,0.0,0.0,17.932294005170167,30.928305268833853,0.0,0.0,12.13273413692322,27.694948798762496,35.78287638745636,9.473725907600098,10.783879574927104,0.0,12.668060169481524,13.96716271771692,0.0,1.5722117124831791,3.6370458106153656,0.0,9.038306681442574,0.0,0.5,23.0,2.0,9.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,2.0,9.0,8.0,0.0,0.0,0.0,2.0,2.1046999999999993,86.02440000000003,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,C1=CC=C2C(=C1)OCCOCCOCCO2,1.81,5.569537037037037,5.569537037037037,0.5281481481481481,0.5281481481481481,0.668757197425471,18.25,224.25599999999991,208.12799999999996,224.104858992,88.0,0.0,0.160790899905971,-0.48729750242372555,0.48729750242372555,0.160790899905971,0.625,1.0625,1.5625,16.567807894544195,10.298169498576119,2.0440185012489542,-2.1404759788072134,2.2570057156086563,-2.151909272269656,5.388820373958757,0.02232574479078055,2.3021159281044263,1.9892745400598266,282.6419994509579,11.05419547499092,9.185034925733243,9.185034925733243,7.9663264951887856,5.467649367222367,5.467649367222367,3.36840334946561,3.36840334946561,2.191640409578996,2.191640409578996,1.4317268877884566,1.4317268877884566,-1.26,6487.362685398273,11.232113748024199,6.350185553248465,3.3956639275848977,95.06940557037493,18.947451815200196,13.213763929025836,11.49902366656781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.13273413692322,12.13273413692322,0.0,26.427527858051672,18.947451815200196,0.0,0.0,0.0,0.0,0.0,39.641291787077506,24.26546827384644,0.0,11.49902366656781,9.473725907600098,0.0,11.49902366656781,0.0,39.641291787077506,9.473725907600098,0.0,0.0,24.26546827384644,0.0,0.0,0.0,36.92,0.0,0.0,0.0,0.0,39.641291787077506,11.49902366656781,0.0,0.0,24.26546827384644,0.0,18.947451815200196,21.800249905517763,0.0,0.0,0.0,0.0,1.5123582766439911,7.625736174099269,0.0,3.3949889770723107,0.0,0.5,16.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.4909999999999994,59.07000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
